locale,type,week_zero,week_one,week_two,week_few,week_many,week_other,day_zero,day_one,day_two,day_few,day_many,day_other,hour_zero,hour_one,hour_two,hour_few,hour_many,hour_other,minute_zero,minute_one,minute_two,minute_few,minute_many,minute_other,second_zero,second_one,second_two,second_few,second_many,second_other
fi,wide,,{0} viikko,,,,{0} viikkoa,,{0} päivä,,,,{0} päivää,,{0} tunti,,,,{0} tuntia,,{0} minuutti,,,,{0} minuuttia,,{0} sekunti,,,,{0} sekuntia
fi,narrow,,{0}vk,,,,{0}vk,,{0}pv,,,,{0}pv,,{0}t,,,,{0}t,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fil,wide,,{0} linggo,,,,{0} na linggo,,{0} araw,,,,{0} na araw,,{0} oras,,,,{0} na oras,,{0} minuto,,,,{0} na minuto,,{0} segundo,,,,{0} na segundo
fil,narrow,,{0}linggo,,,,{0}linggo,,{0} araw,,,,{0} na araw,,{0} oras,,,,{0} oras,,{0}m,,,,{0}m,,{0}s,,,,{0}s
fo,wide,,{0} vika,,,,{0} vikur,,{0} dagur,,,,{0} dagar,,{0} tími,,,,{0} tímar,,{0} minuttur,,,,{0} minuttir,,{0} sekund,,,,{0} sekundir
fo,narrow,,{0}v.,,,,{0}v.,,{0}d.,,,,{0}d.,,{0}t.,,,,{0}t.,,{0}m.,,,,{0}m.,,{0}s.,,,,{0}s.
fo-DK,wide,,{0} vika,,,,{0} vikur,,{0} dagur,,,,{0} dagar,,{0} tími,,,,{0} tímar,,{0} minuttur,,,,{0} minuttir,,{0} sekund,,,,{0} sekundir
fo-DK,narrow,,{0}v.,,,,{0}v.,,{0}d.,,,,{0}d.,,{0}t.,,,,{0}t.,,{0}m.,,,,{0}m.,,{0}s.,,,,{0}s.
fr,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-BE,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-BE,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-BF,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-BF,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-BI,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-BI,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-BJ,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-BJ,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-BL,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-BL,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-CA,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-CA,narrow,,{0}sem,,,,{0}sem,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
fr-CD,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-CD,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-CF,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-CF,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-CG,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-CG,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-CH,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-CH,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-CI,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-CI,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-CM,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-CM,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-DJ,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-DJ,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-DZ,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-DZ,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-GA,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-GA,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-GF,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-GF,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-GN,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-GN,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-GP,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-GP,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-GQ,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-GQ,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-HT,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-HT,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-KM,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-KM,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-LU,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-LU,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-MA,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-MA,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-MC,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-MC,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-MF,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-MF,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-MG,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-MG,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-ML,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-ML,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-MQ,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-MQ,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-MR,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-MR,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-MU,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-MU,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-NC,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-NC,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-NE,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-NE,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-PF,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-PF,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-PM,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-PM,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-RE,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-RE,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-RW,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-RW,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-SC,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-SC,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-SN,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-SN,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-SY,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-SY,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-TD,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-TD,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-TG,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-TG,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-TN,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-TN,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-VU,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-VU,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-WF,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-WF,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fr-YT,wide,,{0} semaine,,,,{0} semaines,,{0} jour,,,,{0} jours,,{0} heure,,,,{0} heures,,{0} minute,,,,{0} minutes,,{0} seconde,,,,{0} secondes
fr-YT,narrow,,{0}sem.,,,,{0}sem.,,{0}j,,,,{0}j,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
fur,wide,,{0} setemane,,,,{0} setemanis,,{0} zornade,,,,{0} zornadis,,{0} ore,,,,{0} oris,,{0} minût,,,,{0} minûts,,{0} secont,,,,{0} seconts
fur,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
fy,wide,,{0} wike,,,,{0} wiken,,{0} dei,,,,{0} deien,,{0} oere,,,,{0} oere,,{0} minút,,,,{0} minuten,,{0} sekonde,,,,{0} sekonden
fy,narrow,,{0} w,,,,{0} w,,{0} d,,,,{0} d,,{0} u,,,,{0} u,,{0} m,,,,{0} m,,{0} s,,,,{0} s
ga,wide,,{0} scht,{0} scht,{0} scht,{0} scht,{0} scht,,{0} lá,{0} lá,{0} lá,{0} lá,{0} lá,,{0} u,{0} u,{0} u,{0} u,{0} u,,{0} nóim,{0} nóim,{0} nóim,{0} nóim,{0} nóim,,{0} soic,{0} shoic,{0} shoic,{0} soic,{0} soic
ga,narrow,,{0} scht,{0} scht,{0} scht,{0} scht,{0} scht,,{0} lá,{0} lá,{0} lá,{0} lá,{0} lá,,{0} u,{0} u,{0} u,{0} u,{0} u,,{0} nóim,{0} nóim,{0} nóim,{0}n,{0} nóim,,{0} soic,{0} soic,{0} soic,{0} soic,{0} soic
ga-GB,wide,,{0} scht,{0} scht,{0} scht,{0} scht,{0} scht,,{0} lá,{0} lá,{0} lá,{0} lá,{0} lá,,{0} u,{0} u,{0} u,{0} u,{0} u,,{0} nóim,{0} nóim,{0} nóim,{0} nóim,{0} nóim,,{0} soic,{0} shoic,{0} shoic,{0} soic,{0} soic
ga-GB,narrow,,{0} scht,{0} scht,{0} scht,{0} scht,{0} scht,,{0} lá,{0} lá,{0} lá,{0} lá,{0} lá,,{0} u,{0} u,{0} u,{0} u,{0} u,,{0} nóim,{0} nóim,{0} nóim,{0}n,{0} nóim,,{0} soic,{0} soic,{0} soic,{0} soic,{0} soic
gd,wide,,{0} seachdain,{0} sheachdain,{0} seachdainean,,{0} seachdain,,{0} latha,{0} latha,{0} làithean,,{0} latha,,{0} uair a thìde,{0} uair a thìde,{0} uairean a thìde,,{0} uair a thìde,,{0} mhionaid,{0} mhionaid,{0} mionaidean,,{0} mionaid,,{0} diog,{0} dhiog,{0} diogan,,{0} diog
gd,narrow,,{0}s,{0}s,{0}s,,{0}s,,{0}là,{0}là,{0}là,,{0}là,,{0}u,{0}u,{0}u,,{0}u,,{0}m,{0}m,{0}m,,{0}m,,{0}d,{0}d,{0}d,,{0}d
gl,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
gl,narrow,,{0} sem.,,,,{0} sem.,,{0} d.,,,,{0} d.,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
gsw,wide,,{0} Wuche,,,,{0} Wuche,,{0} Taag,,,,{0} Tääg,,{0} Schtund,,,,{0} Schtunde,,{0} Minuute,,,,{0} Minuute,,{0} Sekunde,,,,{0} Sekunde
gsw,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
gsw-FR,wide,,{0} Wuche,,,,{0} Wuche,,{0} Taag,,,,{0} Tääg,,{0} Schtund,,,,{0} Schtunde,,{0} Minuute,,,,{0} Minuute,,{0} Sekunde,,,,{0} Sekunde
gsw-FR,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
gsw-LI,wide,,{0} Wuche,,,,{0} Wuche,,{0} Taag,,,,{0} Tääg,,{0} Schtund,,,,{0} Schtunde,,{0} Minuute,,,,{0} Minuute,,{0} Sekunde,,,,{0} Sekunde
gsw-LI,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
gu,wide,,{0} અઠવાડિયું,,,,{0} અઠવાડિયા,,{0} દિવસ,,,,{0} દિવસ,,{0} કલાક,,,,{0} કલાક,,{0} મિનિટ,,,,{0} મિનિટ,,{0} સેકંડ,,,,{0} સેકંડ
gu,narrow,,{0} અઠ.,,,,{0} અઠ.,,{0} દિ,,,,{0} દિ,,{0} ક,,,,{0} ક,,{0} મિ,,,,{0} મિ,,{0} સે,,,,{0} સે
guz,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
guz,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
gv,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
gv,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ha,wide,,mako {0},,,,makonni {0},,rana {0},,,,ranaku {0},,sa′a {0},,,,sa′o′i {0},,minti {0},,,,mintoci {0},,daƙiƙa {0},,,,daƙiƙoƙi {0}
ha,narrow,,m{0},,,,m{0},,r{0},,,,r{0},,s{0},,,,s{0},,minti{0},,,,minti {0},,d {0},,,,d {0}
ha-GH,wide,,mako {0},,,,makonni {0},,rana {0},,,,ranaku {0},,sa′a {0},,,,sa′o′i {0},,minti {0},,,,mintoci {0},,daƙiƙa {0},,,,daƙiƙoƙi {0}
ha-GH,narrow,,m{0},,,,m{0},,r{0},,,,r{0},,s{0},,,,s{0},,minti{0},,,,minti {0},,d {0},,,,d {0}
ha-NE,wide,,mako {0},,,,makonni {0},,rana {0},,,,ranaku {0},,sa′a {0},,,,sa′o′i {0},,minti {0},,,,mintoci {0},,daƙiƙa {0},,,,daƙiƙoƙi {0}
ha-NE,narrow,,m{0},,,,m{0},,r{0},,,,r{0},,s{0},,,,s{0},,minti{0},,,,minti {0},,d {0},,,,d {0}
haw,wide,,{0} pule,,,,{0} pule,,{0} lā,,,,{0} lā,,{0} hola,,,,{0} hola,,{0} minuke,,,,{0} minuke,,{0} kekona,,,,{0} kekona
haw,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
he,wide,,{0} שבוע,שבועיים,,,{0} שבועות,,{0} יום,יומיים,,{0} יום,{0} ימים,,{0} שעה,שעתיים,,{0} שעות,{0} שעות,,{0} דקה,שתי דקות,,{0} דקות,{0} דקות,,{0} שניה,שתי שניות,,{0} שניות,{0} שניות
he,narrow,,{0} ש′,{0} ש′,,{0} ש′,{0} ש′,,{0} י׳,{0} י׳,,{0} י׳,{0} י׳,,{0} שע׳,{0} שע׳,,,{0} שע׳,,{0} דק׳,{0} דק׳,,,{0} דק׳,,{0} שנ׳,{0} שנ׳,,,{0} שנ׳
hi,wide,,{0} सप्ताह,,,,{0} सप्ताह,,{0} दिन,,,,{0} दिन,,{0} घंटा,,,,{0} घंटे,,{0} मिनट,,,,{0} मिनट,,{0} सेकंड,,,,{0} सेकंड
hi,narrow,,{0} सप्ताह,,,,{0} सप्ताह,,{0} दि,,,,{0} दि,,{0} घं,,,,{0} घं,,{0} मि,,,,{0} मि,,{0} से,,,,{0} से
hi-Latn,wide,,{0} week,,,,{0} weeks,,{0} din,,,,{0} din,,{0} ghanta,,,,{0} ghante,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
hi-Latn,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
hr,wide,,{0} tjedan,,{0} tjedna,,{0} tjedana,,{0} dan,,{0} dana,,{0} dana,,{0} sat,,{0} sata,,{0} sati,,{0} minuta,,{0} minute,,{0} minuta,,{0} sekunda,,{0} sekunde,,{0} sekundi
hr,narrow,,{0} tj.,,{0} tj.,,{0} tj.,,{0} d.,,{0} d.,,{0} d.,,,,,,{0} h,,{0} m,,{0} m,,{0} m,,,,,,{0} s
hr-BA,wide,,{0} tjedan,,{0} tjedna,,{0} tjedana,,{0} dan,,{0} dana,,{0} dana,,{0} sat,,{0} sata,,{0} sati,,{0} minuta,,{0} minute,,{0} minuta,,{0} sekunda,,{0} sekunde,,{0} sekundi
hr-BA,narrow,,{0} tj.,,{0} tj.,,{0} tj.,,{0} d.,,{0} d.,,{0} d.,,,,,,{0} h,,{0} m,,{0} m,,{0} m,,,,,,{0} s
hsb,wide,,{0} tydźeń,{0} tydźenjej,{0} tydźenje,,{0} tydźenjow,,{0} dźeń,{0} dnjej,{0} dny,,{0} dnjow,,{0} hodźina,{0} hodźinje,{0} hodźiny,,{0} hodźinow,,{0} minuta,{0} minuće,{0} minuty,,{0} minutow,,{0} sekunda,{0} sekundźe,{0} sekundy,,{0} sekundow
hsb,narrow,,{0} t.,{0} t.,{0} t.,,{0} t.,,{0} d,{0} d,{0} d,,{0} d,,{0} h,{0} h,{0} h,,{0} h,,{0} min,{0} min,{0} min,,{0} min,,{0} s,{0} s,{0} s,,{0} s
hu,wide,,{0} hét,,,,{0} hét,,{0} nap,,,,{0} nap,,{0} óra,,,,{0} óra,,{0} perc,,,,{0} perc,,{0} másodperc,,,,{0} másodperc
hu,narrow,,{0} hét,,,,{0} hét,,{0} nap,,,,{0} nap,,{0} ó,,,,{0} ó,,{0} p,,,,{0} p,,{0} mp,,,,{0} mp
hy,wide,,{0} շաբաթ,,,,{0} շաբաթ,,{0} օր,,,,{0} օր,,{0} ժամ,,,,{0} ժամ,,{0} րոպե,,,,{0} րոպե,,{0} վայրկյան,,,,{0} վայրկյան
hy,narrow,,{0} շ,,,,{0} շ,,{0} օ,,,,{0} օ,,{0}ժ,,,,{0}ժ,,{0}ր,,,,{0}ր,,{0} վ,,,,{0} վ
